Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
01.09.2021;00:00;11.747;9.769;387
01.09.2021;00:15;11.642;9.702;394
01.09.2021;00:30;11.404;9.492;474
01.09.2021;00:45;11.316;9.466;535
01.09.2021;01:00;11.269;9.465;590
01.09.2021;01:15;11.192;9.431;616
01.09.2021;01:30;11.157;9.403;649
01.09.2021;01:45;11.075;9.339;662
01.09.2021;02:00;10.906;9.163;709
01.09.2021;02:15;10.915;9.192;721
01.09.2021;02:30;10.816;9.085;785
01.09.2021;02:45;10.862;9.135;798
01.09.2021;03:00;10.905;9.177;740
01.09.2021;03:15;10.940;9.209;727
01.09.2021;03:30;10.996;9.285;727
01.09.2021;03:45;11.010;9.300;730
01.09.2021;04:00;11.138;9.428;674
01.09.2021;04:15;11.166;9.482;649
01.09.2021;04:30;11.203;9.549;606
01.09.2021;04:45;11.373;9.760;469
01.09.2021;05:00;11.662;10.104;489
01.09.2021;05:15;11.795;10.285;452
01.09.2021;05:30;12.180;10.695;268
01.09.2021;05:45;12.544;11.075;228
01.09.2021;06:00;13.360;11.936;146
01.09.2021;06:15;13.866;12.474;36
01.09.2021;06:30;14.093;12.724;6
01.09.2021;06:45;14.410;13.015;5
01.09.2021;07:00;14.749;13.258;4
01.09.2021;07:15;14.933;13.285;4
01.09.2021;07:30;15.150;13.332;4
01.09.2021;07:45;15.420;13.399;4
01.09.2021;08:00;15.665;13.418;4
01.09.2021;08:15;15.801;13.315;3
01.09.2021;08:30;15.945;13.181;3
01.09.2021;08:45;15.993;12.938;2
01.09.2021;09:00;16.068;12.687;1
01.09.2021;09:15;16.209;12.523;1
01.09.2021;09:30;16.275;12.227;2
01.09.2021;09:45;16.409;12.001;2
01.09.2021;10:00;16.568;11.824;2
01.09.2021;10:15;16.556;11.520;2
01.09.2021;10:30;16.644;11.336;26
01.09.2021;10:45;16.616;11.069;44
01.09.2021;11:00;16.630;10.852;44
01.09.2021;11:15;16.730;10.699;45
01.09.2021;11:30;16.850;10.568;44
01.09.2021;11:45;16.886;10.350;66
01.09.2021;12:00;16.751;10.044;109
01.09.2021;12:15;16.703;9.858;150
01.09.2021;12:30;16.619;9.628;129
01.09.2021;12:45;16.588;9.497;116
01.09.2021;13:00;16.448;9.253;291
01.09.2021;13:15;16.375;9.127;315
01.09.2021;13:30;16.259;8.974;338
01.09.2021;13:45;16.175;8.899;383
01.09.2021;14:00;16.128;8.906;449
01.09.2021;14:15;16.046;8.883;469
01.09.2021;14:30;16.026;8.909;479
01.09.2021;14:45;15.926;8.863;489
01.09.2021;15:00;15.935;9.049;431
01.09.2021;15:15;15.828;9.141;394
01.09.2021;15:30;15.660;9.222;362
01.09.2021;15:45;15.491;9.263;322
01.09.2021;16:00;15.339;9.378;432
01.09.2021;16:15;15.251;9.589;384
01.09.2021;16:30;15.129;9.790;265
01.09.2021;16:45;14.992;9.973;261
01.09.2021;17:00;15.082;10.428;334
01.09.2021;17:15;15.060;10.804;177
01.09.2021;17:30;15.001;11.147;79
01.09.2021;17:45;15.089;11.665;60
01.09.2021;18:00;15.096;12.129;249
01.09.2021;18:15;15.038;12.518;98
01.09.2021;18:30;15.106;12.999;4
01.09.2021;18:45;15.107;13.364;1
01.09.2021;19:00;15.169;13.737;26
01.09.2021;19:15;14.980;13.785;13
01.09.2021;19:30;14.957;13.882;1
01.09.2021;19:45;14.940;13.870;1
01.09.2021;20:00;14.859;13.706;1
01.09.2021;20:15;14.856;13.637;2
01.09.2021;20:30;14.868;13.530;2
01.09.2021;20:45;14.794;13.322;50
01.09.2021;21:00;14.571;13.029;20
01.09.2021;21:15;14.340;12.725;13
01.09.2021;21:30;14.131;12.453;80
01.09.2021;21:45;13.894;12.148;189
01.09.2021;22:00;13.709;11.945;105
01.09.2021;22:15;13.417;11.628;109
01.09.2021;22:30;13.113;11.314;131
01.09.2021;22:45;12.747;10.926;266
01.09.2021;23:00;12.436;10.620;301
01.09.2021;23:15;12.316;10.513;376
01.09.2021;23:30;12.203;10.397;361
01.09.2021;23:45;11.981;10.184;491
02.09.2021;00:00;11.678;9.901;450
02.09.2021;00:15;11.513;9.771;483
02.09.2021;00:30;11.402;9.673;508
02.09.2021;00:45;11.278;9.592;571
02.09.2021;01:00;11.200;9.565;625
02.09.2021;01:15;11.125;9.540;670
02.09.2021;01:30;11.072;9.546;652
02.09.2021;01:45;10.986;9.532;685
02.09.2021;02:00;10.808;9.409;615
02.09.2021;02:15;10.763;9.444;643
02.09.2021;02:30;10.749;9.463;640
02.09.2021;02:45;10.816;9.565;624
02.09.2021;03:00;10.769;9.566;648
02.09.2021;03:15;10.804;9.644;655
02.09.2021;03:30;10.799;9.654;636
02.09.2021;03:45;10.821;9.700;598
02.09.2021;04:00;10.885;9.788;566
02.09.2021;04:15;10.969;9.888;531
02.09.2021;04:30;11.026;9.956;519
02.09.2021;04:45;11.138;10.066;543
02.09.2021;05:00;11.514;10.453;578
02.09.2021;05:15;11.739;10.701;481
02.09.2021;05:30;12.034;11.017;348
02.09.2021;05:45;12.466;11.461;256
02.09.2021;06:00;13.247;12.270;229
02.09.2021;06:15;13.761;12.813;48
02.09.2021;06:30;13.995;13.036;18
02.09.2021;06:45;14.291;13.299;13
02.09.2021;07:00;14.628;13.524;14
02.09.2021;07:15;14.791;13.528;2
02.09.2021;07:30;15.059;13.568;2
02.09.2021;07:45;15.372;13.558;2
02.09.2021;08:00;15.534;13.389;1
02.09.2021;08:15;15.687;13.230;1
02.09.2021;08:30;15.798;12.992;1
02.09.2021;08:45;15.855;12.666;1
02.09.2021;09:00;15.824;12.267;1
02.09.2021;09:15;15.949;12.020;1
