Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
10.07.2021;00:00;1.007;561;242;1.974;0;36;1.940;2.867;1.359;1.052;123;306
10.07.2021;00:15;1.007;551;252;1.986;0;36;1.941;2.881;1.331;903;121;306
10.07.2021;00:30;1.008;542;288;1.965;0;36;1.943;2.868;1.295;833;63;307
10.07.2021;00:45;1.009;516;283;2.006;0;36;1.946;2.837;1.214;771;26;308
10.07.2021;01:00;1.004;552;267;2.052;0;36;1.950;2.887;1.127;724;53;309
10.07.2021;01:15;1.002;535;203;2.141;0;36;1.952;2.878;1.109;700;5;307
10.07.2021;01:30;1.007;549;196;2.103;0;36;1.956;2.880;1.080;707;1;305
10.07.2021;01:45;1.008;546;198;2.100;0;36;1.958;2.887;1.059;700;2;307
10.07.2021;02:00;1.008;533;177;2.071;0;36;1.961;2.888;1.039;658;0;309
10.07.2021;02:15;1.006;527;177;2.032;0;36;1.964;2.890;1.021;643;1;307
10.07.2021;02:30;1.009;531;161;2.038;0;36;1.965;2.896;997;632;2;305
10.07.2021;02:45;1.007;529;159;2.061;0;36;1.964;2.887;972;639;2;303
10.07.2021;03:00;1.008;539;154;2.027;0;36;1.965;2.879;975;618;4;301
10.07.2021;03:15;1.005;531;144;2.004;0;36;1.965;2.864;965;651;2;304
10.07.2021;03:30;1.006;533;150;2.016;0;36;1.965;2.855;950;650;3;305
10.07.2021;03:45;1.002;528;146;2.017;0;36;1.965;2.854;931;649;1;306
10.07.2021;04:00;1.001;531;146;1.993;0;36;1.970;2.848;932;650;2;306
10.07.2021;04:15;999;533;162;2.000;0;36;1.971;2.834;942;654;4;304
10.07.2021;04:30;1.002;542;158;2.030;0;36;1.972;2.820;917;652;1;305
10.07.2021;04:45;998;561;164;2.044;1;36;1.972;2.827;867;654;2;306
10.07.2021;05:00;998;571;172;2.067;5;36;1.972;2.822;833;630;2;306
10.07.2021;05:15;997;539;179;2.100;18;36;1.973;2.824;824;623;1;305
10.07.2021;05:30;999;546;168;2.088;40;36;1.973;2.813;817;627;1;309
10.07.2021;05:45;995;565;164;2.065;101;36;1.973;2.833;813;630;2;306
10.07.2021;06:00;1.004;557;163;2.065;205;36;1.973;2.840;845;616;1;295
10.07.2021;06:15;1.007;551;162;2.027;340;36;1.975;2.870;862;615;10;299
10.07.2021;06:30;995;542;160;1.943;508;36;1.976;2.871;869;617;3;305
10.07.2021;06:45;994;533;175;1.837;710;36;1.977;2.860;923;653;10;295
10.07.2021;07:00;1.007;548;187;1.721;957;36;1.977;2.876;974;697;11;304
10.07.2021;07:15;1.012;545;203;1.610;1.214;36;1.978;2.887;1.016;704;21;304
10.07.2021;07:30;1.012;538;224;1.484;1.503;36;1.978;2.887;1.049;710;29;304
10.07.2021;07:45;1.015;528;235;1.359;1.819;36;1.979;2.887;1.071;704;24;305
10.07.2021;08:00;1.017;572;280;1.280;2.176;36;1.977;2.863;1.086;691;120;307
10.07.2021;08:15;1.017;573;294;1.218;2.533;36;1.975;2.875;1.087;700;135;306
10.07.2021;08:30;1.007;571;282;1.217;2.907;36;1.974;2.873;1.087;693;138;306
10.07.2021;08:45;1.010;529;280;1.216;3.297;36;1.974;2.878;1.086;701;98;305
10.07.2021;09:00;1.019;596;284;1.214;3.710;36;1.974;2.875;1.094;689;258;305
10.07.2021;09:15;1.022;539;297;1.236;4.098;36;1.972;2.859;1.095;697;101;305
10.07.2021;09:30;1.024;524;299;1.249;4.495;36;1.971;2.844;1.100;694;41;305
10.07.2021;09:45;1.028;541;280;1.300;4.827;36;1.970;2.839;1.086;694;49;306
10.07.2021;10:00;1.028;587;301;1.326;5.172;36;1.957;2.802;1.065;650;112;305
10.07.2021;10:15;1.029;531;312;1.312;5.524;36;1.939;2.784;1.043;655;26;305
10.07.2021;10:30;1.028;535;312;1.299;5.840;36;1.923;2.781;994;649;17;304
10.07.2021;10:45;1.027;545;301;1.295;6.159;36;1.922;2.773;966;652;18;303
10.07.2021;11:00;1.025;527;298;1.288;6.383;36;1.922;2.753;941;606;11;304
10.07.2021;11:15;1.028;524;286;1.278;6.554;36;1.921;2.726;905;606;4;305
10.07.2021;11:30;1.028;527;288;1.260;6.718;36;1.921;2.729;887;613;6;304
10.07.2021;11:45;1.030;534;283;1.279;6.845;36;1.923;2.725;879;617;10;304
10.07.2021;12:00;1.031;537;282;1.244;6.933;36;1.925;2.728;857;624;9;302
10.07.2021;12:15;1.028;550;274;1.224;6.949;36;1.929;2.662;845;635;17;303
10.07.2021;12:30;1.028;559;263;1.186;6.990;36;1.924;2.680;807;661;23;303
10.07.2021;12:45;1.029;531;267;1.105;7.099;36;1.924;2.680;760;674;4;302
10.07.2021;13:00;1.029;552;266;1.040;7.127;36;1.924;2.688;726;671;13;302
10.07.2021;13:15;1.031;526;270;1.015;7.126;36;1.924;2.680;688;670;4;304
10.07.2021;13:30;1.030;522;262;990;7.094;36;1.924;2.680;686;687;1;302
10.07.2021;13:45;1.028;522;256;945;7.017;36;1.924;2.678;680;682;1;303
10.07.2021;14:00;1.021;523;251;881;6.955;36;1.923;2.683;682;697;4;303
10.07.2021;14:15;1.017;525;250;812;6.832;36;1.925;2.678;704;703;6;301
10.07.2021;14:30;1.018;543;242;757;6.764;36;1.924;2.683;749;702;11;301
10.07.2021;14:45;1.019;537;242;720;6.636;36;1.925;2.684;813;708;4;302
10.07.2021;15:00;1.020;530;238;670;6.435;36;1.927;2.678;851;708;2;303
10.07.2021;15:15;1.020;529;236;604;6.252;36;1.927;2.704;871;714;6;301
10.07.2021;15:30;1.024;522;230;560;6.065;36;1.926;2.712;879;718;10;302
10.07.2021;15:45;1.019;530;222;521;5.875;36;1.926;2.710;878;724;17;303
10.07.2021;16:00;1.017;519;221;454;5.626;36;1.926;2.710;909;761;19;303
10.07.2021;16:15;1.021;534;228;390;5.412;36;1.927;2.687;949;772;29;301
10.07.2021;16:30;1.021;529;213;364;5.096;36;1.927;2.714;1.010;772;54;295
10.07.2021;16:45;1.016;559;201;336;4.780;36;1.927;2.718;1.053;804;127;294
10.07.2021;17:00;1.013;535;202;312;4.424;36;1.926;2.740;1.087;812;20;305
10.07.2021;17:15;1.009;558;206;267;4.064;36;1.926;2.747;1.154;770;40;305
10.07.2021;17:30;1.013;554;201;224;3.707;36;1.934;2.760;1.197;810;55;302
10.07.2021;17:45;1.013;618;196;208;3.348;36;1.954;2.763;1.218;843;139;302
10.07.2021;18:00;1.019;546;187;197;2.998;36;1.967;2.790;1.261;865;91;304
10.07.2021;18:15;1.017;557;170;197;2.662;36;1.968;2.802;1.276;861;227;310
10.07.2021;18:30;1.018;608;143;197;2.291;36;1.969;2.801;1.294;894;431;310
10.07.2021;18:45;1.017;599;108;211;1.908;36;1.970;2.804;1.302;896;671;307
10.07.2021;19:00;1.016;527;85;217;1.556;36;1.969;2.785;1.307;916;631;306
10.07.2021;19:15;1.017;539;73;237;1.250;36;1.969;2.805;1.308;926;706;298
10.07.2021;19:30;1.018;543;73;270;979;36;1.970;2.816;1.307;925;792;300
10.07.2021;19:45;1.018;565;72;307;761;36;1.970;2.840;1.305;916;880;307
10.07.2021;20:00;1.021;544;77;341;560;36;1.969;2.886;1.313;941;665;308
10.07.2021;20:15;1.019;538;87;407;389;36;1.969;2.877;1.314;938;623;307
10.07.2021;20:30;1.022;515;75;474;241;36;1.970;2.869;1.315;935;591;308
10.07.2021;20:45;1.022;518;63;487;130;36;1.969;2.874;1.312;941;511;308
10.07.2021;21:00;1.024;563;59;500;61;36;1.969;2.886;1.313;945;717;305
10.07.2021;21:15;1.022;545;54;541;20;36;1.969;2.894;1.308;947;710;306
10.07.2021;21:30;1.022;541;52;608;5;36;1.970;2.896;1.301;952;632;306
10.07.2021;21:45;1.022;521;45;665;1;36;1.971;2.893;1.295;951;551;308
10.07.2021;22:00;1.017;579;36;666;0;36;1.971;2.908;1.286;951;591;308
10.07.2021;22:15;1.010;568;26;651;0;36;1.971;2.910;1.286;954;541;308
10.07.2021;22:30;1.020;580;26;634;0;36;1.970;2.905;1.283;954;548;309
10.07.2021;22:45;1.020;521;28;639;0;36;1.971;2.899;1.282;952;438;308
10.07.2021;23:00;1.020;552;29;664;0;36;1.972;2.913;1.270;946;749;309
10.07.2021;23:15;1.022;530;25;710;0;36;1.971;2.898;1.259;934;615;310
10.07.2021;23:30;1.022;543;22;779;0;36;1.972;2.895;1.259;920;493;308
10.07.2021;23:45;1.021;508;20;831;0;36;1.970;2.878;1.209;897;399;303
11.07.2021;00:00;1.020;569;17;885;0;36;1.972;2.894;1.114;852;273;308
11.07.2021;00:15;1.014;531;14;941;0;36;1.970;2.891;1.087;848;127;305
11.07.2021;00:30;1.015;522;13;974;0;36;1.972;2.881;1.063;842;65;297
11.07.2021;00:45;1.016;532;11;1.008;0;36;1.975;2.875;1.004;838;10;304
11.07.2021;01:00;1.014;555;8;1.037;0;36;1.978;2.901;937;816;78;309
11.07.2021;01:15;1.014;548;8;1.058;0;36;1.977;2.894;875;791;81;311
11.07.2021;01:30;1.017;546;8;1.071;0;36;1.977;2.892;832;799;59;307
11.07.2021;01:45;1.015;542;7;1.081;0;36;1.977;2.888;781;797;46;308
11.07.2021;02:00;1.016;583;5;1.096;0;36;1.978;2.879;721;748;107;306
11.07.2021;02:15;1.015;536;4;1.075;0;36;1.977;2.852;724;759;122;302
11.07.2021;02:30;1.014;542;4;1.087;0;36;1.974;2.846;741;758;122;306
11.07.2021;02:45;1.012;532;3;1.096;0;36;1.972;2.843;743;754;88;307
11.07.2021;03:00;1.012;560;2;1.080;0;36;1.974;2.825;739;753;129;297
11.07.2021;03:15;1.014;545;2;1.076;0;36;1.974;2.816;738;756;88;308
11.07.2021;03:30;1.012;543;2;1.065;0;36;1.974;2.823;740;762;66;307
11.07.2021;03:45;1.010;545;2;1.050;0;36;1.975;2.825;740;752;54;306
11.07.2021;04:00;1.010;543;2;1.030;0;36;1.975;2.825;720;739;52;304
11.07.2021;04:15;1.003;541;2;1.045;0;36;1.975;2.817;702;739;61;304
11.07.2021;04:30;1.007;547;1;1.054;0;36;1.976;2.818;698;731;62;305
11.07.2021;04:45;1.010;550;2;1.064;1;36;1.980;2.819;698;729;30;305
11.07.2021;05:00;1.008;551;2;1.077;6;36;1.980;2.826;707;713;32;305
11.07.2021;05:15;1.011;550;3;1.108;31;36;1.981;2.818;703;708;19;307
11.07.2021;05:30;1.009;548;3;1.135;70;36;1.981;2.814;701;707;17;307
11.07.2021;05:45;1.008;546;4;1.122;116;36;1.983;2.793;708;708;17;302
11.07.2021;06:00;1.008;553;5;1.096;183;36;1.984;2.819;702;711;24;302
11.07.2021;06:15;1.010;553;7;1.062;283;36;1.985;2.839;686;714;13;306
11.07.2021;06:30;1.011;553;10;1.013;411;36;1.985;2.842;681;705;21;307
11.07.2021;06:45;1.007;539;13;971;558;36;1.985;2.841;684;727;13;306
11.07.2021;07:00;1.013;526;17;910;726;36;1.985;2.829;707;777;16;307
11.07.2021;07:15;1.013;523;19;830;898;36;1.986;2.836;736;770;32;304
11.07.2021;07:30;1.015;529;23;731;1.087;36;1.986;2.839;743;777;35;307
11.07.2021;07:45;1.016;523;26;635;1.316;36;1.986;2.838;741;776;44;306
11.07.2021;08:00;1.018;554;30;551;1.565;36;1.984;2.835;740;795;42;306
11.07.2021;08:15;1.015;556;34;481;1.844;36;1.984;2.834;741;798;45;305
11.07.2021;08:30;1.019;539;39;423;2.137;36;1.984;2.834;741;798;33;305
11.07.2021;08:45;1.018;514;42;397;2.450;36;1.985;2.831;748;798;25;306
11.07.2021;09:00;1.015;533;44;384;2.744;36;1.984;2.822;756;769;48;306
11.07.2021;09:15;1.013;526;44;388;2.993;36;1.984;2.822;752;726;38;303
11.07.2021;09:30;1.020;517;42;397;3.265;36;1.983;2.819;752;686;28;299
11.07.2021;09:45;1.023;515;41;427;3.578;36;1.982;2.802;753;654;11;297
11.07.2021;10:00;1.022;568;42;458;3.786;36;1.981;2.807;739;581;29;304
11.07.2021;10:15;1.019;543;36;489;4.009;36;1.981;2.803;732;579;16;300
11.07.2021;10:30;1.019;552;32;526;4.294;36;1.980;2.799;719;573;18;300
11.07.2021;10:45;1.024;555;31;532;4.503;36;1.981;2.813;724;615;16;300
11.07.2021;11:00;1.023;557;31;551;4.685;36;1.979;2.831;740;634;25;303
11.07.2021;11:15;1.022;533;32;559;4.748;36;1.977;2.826;739;636;17;297
11.07.2021;11:30;1.019;545;42;575;4.838;36;1.977;2.832;744;629;19;303
11.07.2021;11:45;1.002;539;53;589;4.950;36;1.976;2.829;736;633;21;304
11.07.2021;12:00;987;554;57;590;5.032;36;1.975;2.826;741;634;160;305
11.07.2021;12:15;978;527;62;604;5.108;36;1.975;2.820;746;628;87;306
11.07.2021;12:30;982;580;70;601;5.101;36;1.975;2.826;743;627;71;305
11.07.2021;12:45;1.000;547;75;602;5.056;36;1.974;2.825;718;626;38;304
11.07.2021;13:00;1.008;552;80;616;5.060;36;1.975;2.830;709;613;52;305
11.07.2021;13:15;1.006;516;93;624;5.045;36;1.974;2.830;712;605;6;305
11.07.2021;13:30;1.003;513;109;625;5.046;36;1.974;2.824;719;604;8;307
11.07.2021;13:45;1.015;535;126;644;5.035;36;1.973;2.814;717;601;11;304
11.07.2021;14:00;1.015;542;144;652;4.950;36;1.975;2.808;671;575;64;306
11.07.2021;14:15;1.007;532;158;696;4.913;36;1.973;2.786;671;578;22;306
11.07.2021;14:30;1.017;512;169;734;4.879;36;1.967;2.751;670;573;8;305
11.07.2021;14:45;1.019;522;178;747;4.824;36;1.966;2.718;651;584;2;304
11.07.2021;15:00;1.018;542;186;786;4.766;36;1.971;2.675;645;593;0;305
11.07.2021;15:15;1.018;542;198;824;4.736;36;1.972;2.673;618;594;1;304
11.07.2021;15:30;1.014;573;208;871;4.673;36;1.972;2.651;613;597;9;305
11.07.2021;15:45;1.018;553;220;912;4.586;36;1.971;2.639;618;602;3;305
11.07.2021;16:00;1.019;541;225;957;4.578;36;1.969;2.605;629;593;7;302
11.07.2021;16:15;1.018;599;234;982;4.445;36;1.970;2.642;629;589;12;302
11.07.2021;16:30;1.014;599;242;978;4.350;36;1.972;2.701;646;589;12;302
