Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
08.07.2021;00:00;1.031;611;292;721;0;36;1.649;2.828;1.903;1.751;88;308
08.07.2021;00:15;1.031;542;296;734;0;36;1.649;2.820;1.867;1.782;41;304
08.07.2021;00:30;1.032;547;289;750;0;36;1.650;2.830;1.748;1.766;42;305
08.07.2021;00:45;1.029;565;285;751;0;36;1.649;2.832;1.689;1.747;36;307
08.07.2021;01:00;1.031;541;285;737;0;36;1.650;2.865;1.657;1.659;16;311
08.07.2021;01:15;1.031;538;279;736;0;36;1.650;2.878;1.605;1.623;21;309
08.07.2021;01:30;1.030;543;271;717;0;36;1.650;2.887;1.572;1.643;25;308
08.07.2021;01:45;1.030;552;275;712;0;36;1.650;2.882;1.561;1.625;17;304
08.07.2021;02:00;1.033;549;290;720;0;36;1.650;2.888;1.553;1.537;9;308
08.07.2021;02:15;1.032;545;304;720;0;36;1.652;2.880;1.542;1.504;7;308
08.07.2021;02:30;1.031;542;328;703;0;36;1.652;2.884;1.532;1.496;7;307
08.07.2021;02:45;1.032;542;330;672;0;36;1.652;2.886;1.535;1.500;6;306
08.07.2021;03:00;1.031;545;328;664;0;36;1.652;2.892;1.546;1.536;11;305
08.07.2021;03:15;1.030;527;335;648;0;36;1.651;2.879;1.543;1.554;12;305
08.07.2021;03:30;1.027;525;332;637;0;36;1.651;2.888;1.544;1.567;13;306
08.07.2021;03:45;1.024;526;322;611;0;36;1.651;2.891;1.560;1.566;13;307
08.07.2021;04:00;1.018;554;312;593;0;36;1.652;2.888;1.562;1.568;10;307
08.07.2021;04:15;1.009;572;318;563;0;36;1.652;2.888;1.564;1.570;12;307
08.07.2021;04:30;1.013;582;311;559;0;36;1.652;2.887;1.575;1.616;18;304
08.07.2021;04:45;1.014;579;321;536;2;36;1.653;2.890;1.579;1.665;21;308
08.07.2021;05:00;1.017;556;318;527;9;36;1.654;2.900;1.604;1.638;30;307
08.07.2021;05:15;1.015;538;302;541;35;36;1.654;2.904;1.620;1.668;36;309
08.07.2021;05:30;1.013;530;289;532;63;36;1.654;2.903;1.671;1.708;53;309
08.07.2021;05:45;1.014;542;273;512;108;36;1.654;2.907;1.748;1.761;39;309
08.07.2021;06:00;1.012;549;257;468;186;36;1.622;2.903;1.885;1.712;91;308
08.07.2021;06:15;1.012;558;239;439;292;36;1.590;2.906;1.961;1.749;154;309
08.07.2021;06:30;1.013;543;234;416;423;36;1.592;2.914;2.048;1.782;202;309
08.07.2021;06:45;1.013;585;213;377;573;36;1.592;2.906;2.123;1.795;261;309
08.07.2021;07:00;1.012;541;205;343;732;36;1.593;2.925;2.165;1.784;253;309
08.07.2021;07:15;1.017;558;213;318;902;36;1.594;2.952;2.174;1.823;344;308
08.07.2021;07:30;1.018;586;206;282;1.084;36;1.640;2.955;2.175;1.833;426;308
08.07.2021;07:45;1.017;587;204;259;1.267;36;1.658;2.951;2.178;1.840;537;309
08.07.2021;08:00;1.019;593;201;223;1.433;36;1.658;2.948;2.179;1.852;649;310
08.07.2021;08:15;1.020;598;191;196;1.633;36;1.657;2.943;2.176;1.863;686;309
08.07.2021;08:30;1.020;591;183;171;1.856;36;1.656;2.947;2.180;1.856;688;308
08.07.2021;08:45;1.025;572;182;155;2.049;36;1.656;2.948;2.181;1.869;567;308
08.07.2021;09:00;1.022;589;191;144;2.251;36;1.655;2.940;2.181;1.867;533;307
08.07.2021;09:15;1.020;564;191;141;2.465;36;1.654;2.937;2.177;1.871;470;309
08.07.2021;09:30;1.025;572;185;141;2.699;36;1.654;2.935;2.177;1.867;473;307
08.07.2021;09:45;1.028;545;172;135;2.906;36;1.654;2.925;2.182;1.868;429;312
08.07.2021;10:00;1.024;571;152;144;3.082;36;1.653;2.914;2.185;1.856;447;312
08.07.2021;10:15;1.023;585;137;144;3.207;36;1.653;2.910;2.189;1.857;370;311
08.07.2021;10:30;1.022;594;114;145;3.369;36;1.652;2.917;2.190;1.869;349;310
08.07.2021;10:45;1.026;564;97;157;3.512;36;1.651;2.915;2.191;1.887;306;310
08.07.2021;11:00;1.025;578;86;175;3.582;36;1.651;2.916;2.189;1.889;239;310
08.07.2021;11:15;1.027;586;69;188;3.658;36;1.650;2.921;2.186;1.893;257;310
08.07.2021;11:30;1.025;602;50;200;3.722;36;1.649;2.917;2.187;1.893;301;311
08.07.2021;11:45;1.024;589;50;189;3.722;36;1.649;2.913;2.186;1.888;321;312
08.07.2021;12:00;1.026;609;54;203;3.762;36;1.649;2.921;2.182;1.872;432;313
08.07.2021;12:15;1.024;599;60;214;3.810;36;1.649;2.923;2.189;1.885;286;312
08.07.2021;12:30;1.023;603;54;198;3.816;36;1.649;2.945;2.182;1.899;246;313
08.07.2021;12:45;1.025;601;59;181;3.722;36;1.650;2.948;2.188;1.926;237;315
