,Date,Consumption
0,01/01/2020 00:00:00,10899
1,01/01/2020 00:15:00,10837
2,01/01/2020 00:30:00,10759
3,01/01/2020 00:45:00,10719
4,01/01/2020 01:00:00,10678
5,01/01/2020 01:15:00,10633
6,01/01/2020 01:30:00,10541
7,01/01/2020 01:45:00,1047
8,01/01/2020 02:00:00,10424
9,01/01/2020 02:15:00,10344
10,01/01/2020 02:30:00,10247
11,01/01/2020 02:45:00,10187
12,01/01/2020 03:00:00,10094
13,01/01/2020 03:15:00,10023
14,01/01/2020 03:30:00,9954
15,01/01/2020 03:45:00,9902
16,01/01/2020 04:00:00,10018
17,01/01/2020 04:15:00,998
18,01/01/2020 04:30:00,9985
19,01/01/2020 04:45:00,9962
20,01/01/2020 05:00:00,9989
21,01/01/2020 05:15:00,9928
22,01/01/2020 05:30:00,9922
23,01/01/2020 05:45:00,9854
24,01/01/2020 06:00:00,9668
25,01/01/2020 06:15:00,9639
26,01/01/2020 06:30:00,9628
27,01/01/2020 06:45:00,9674
28,01/01/2020 07:00:00,9738
29,01/01/2020 07:15:00,9792
30,01/01/2020 07:30:00,9788
31,01/01/2020 07:45:00,9803
32,01/01/2020 08:00:00,9868
33,01/01/2020 08:15:00,9922
34,01/01/2020 08:30:00,9958
35,01/01/2020 08:45:00,1011
36,01/01/2020 09:00:00,10297
37,01/01/2020 09:15:00,10459
38,01/01/2020 09:30:00,10595
39,01/01/2020 09:45:00,10817
40,01/01/2020 10:00:00,10921
41,01/01/2020 10:15:00,11003
42,01/01/2020 10:30:00,11116
43,01/01/2020 10:45:00,11232
44,01/01/2020 11:00:00,11413
45,01/01/2020 11:15:00,11549
46,01/01/2020 11:30:00,11666
47,01/01/2020 11:45:00,11714
48,01/01/2020 12:00:00,1189
49,01/01/2020 12:15:00,11959
50,01/01/2020 12:30:00,11954
51,01/01/2020 12:45:00,11911
52,01/01/2020 13:00:00,1192
53,01/01/2020 13:15:00,11883
54,01/01/2020 13:30:00,11885
55,01/01/2020 13:45:00,11836
56,01/01/2020 14:00:00,11628
57,01/01/2020 14:15:00,11542
58,01/01/2020 14:30:00,11397
59,01/01/2020 14:45:00,11389
60,01/01/2020 15:00:00,11485
61,01/01/2020 15:15:00,11451
62,01/01/2020 15:30:00,11488
63,01/01/2020 15:45:00,11569
64,01/01/2020 16:00:00,11759
65,01/01/2020 16:15:00,11973
66,01/01/2020 16:30:00,1232
67,01/01/2020 16:45:00,12681
68,01/01/2020 17:00:00,13004
69,01/01/2020 17:15:00,13114
70,01/01/2020 17:30:00,13238
71,01/01/2020 17:45:00,13312
72,01/01/2020 18:00:00,1341
73,01/01/2020 18:15:00,13365
74,01/01/2020 18:30:00,13409
75,01/01/2020 18:45:00,13289
76,01/01/2020 19:00:00,13271
77,01/01/2020 19:15:00,13107
78,01/01/2020 19:30:00,1303
79,01/01/2020 19:45:00,12888
80,01/01/2020 20:00:00,12767
81,01/01/2020 20:15:00,12639
82,01/01/2020 20:30:00,12465
83,01/01/2020 20:45:00,12329
84,01/01/2020 21:00:00,12275
85,01/01/2020 21:15:00,12204
86,01/01/2020 21:30:00,12201
87,01/01/2020 21:45:00,12117
88,01/01/2020 22:00:00,12222
89,01/01/2020 22:15:00,1209
90,01/01/2020 22:30:00,11898
91,01/01/2020 22:45:00,11691
92,01/01/2020 23:00:00,11497
93,01/01/2020 23:15:00,1136
94,01/01/2020 23:30:00,11173
95,01/01/2020 23:45:00,11013
96,02/01/2020 00:00:00,11004
97,02/01/2020 00:15:00,10956
98,02/01/2020 00:30:00,10902
99,02/01/2020 00:45:00,10789
100,02/01/2020 01:00:00,1068
101,02/01/2020 01:15:00,10597
102,02/01/2020 01:30:00,10526
103,02/01/2020 01:45:00,10511
104,02/01/2020 02:00:00,10461
105,02/01/2020 02:15:00,10404
106,02/01/2020 02:30:00,10409
107,02/01/2020 02:45:00,10394
108,02/01/2020 03:00:00,10444
109,02/01/2020 03:15:00,10367
110,02/01/2020 03:30:00,10411
111,02/01/2020 03:45:00,10468
112,02/01/2020 04:00:00,10562
113,02/01/2020 04:15:00,10615
114,02/01/2020 04:30:00,10749
115,02/01/2020 04:45:00,10855
116,02/01/2020 05:00:00,11062
117,02/01/2020 05:15:00,1115
118,02/01/2020 05:30:00,11368
119,02/01/2020 05:45:00,11505
120,02/01/2020 06:00:00,11882
121,02/01/2020 06:15:00,1222
122,02/01/2020 06:30:00,12517
123,02/01/2020 06:45:00,12839
124,02/01/2020 07:00:00,13213
125,02/01/2020 07:15:00,13475
126,02/01/2020 07:30:00,13729
127,02/01/2020 07:45:00,13951
128,02/01/2020 08:00:00,14263
129,02/01/2020 08:15:00,14353
130,02/01/2020 08:30:00,14519
131,02/01/2020 08:45:00,14678
132,02/01/2020 09:00:00,14842
133,02/01/2020 09:15:00,14947
134,02/01/2020 09:30:00,15015
135,02/01/2020 09:45:00,15046
136,02/01/2020 10:00:00,15147
137,02/01/2020 10:15:00,15133
138,02/01/2020 10:30:00,15222
139,02/01/2020 10:45:00,15297
140,02/01/2020 11:00:00,15297
141,02/01/2020 11:15:00,15356
142,02/01/2020 11:30:00,15406
143,02/01/2020 11:45:00,15464
144,02/01/2020 12:00:00,15493
145,02/01/2020 12:15:00,15444
146,02/01/2020 12:30:00,15461
147,02/01/2020 12:45:00,15401
148,02/01/2020 13:00:00,15347
149,02/01/2020 13:15:00,15293
150,02/01/2020 13:30:00,15222
151,02/01/2020 13:45:00,15095
152,02/01/2020 14:00:00,1506
153,02/01/2020 14:15:00,15035
154,02/01/2020 14:30:00,14994
155,02/01/2020 14:45:00,14932
156,02/01/2020 15:00:00,15013
157,02/01/2020 15:15:00,1499
158,02/01/2020 15:30:00,15004
159,02/01/2020 15:45:00,15052
160,02/01/2020 16:00:00,15151
161,02/01/2020 16:15:00,15266
162,02/01/2020 16:30:00,15501
163,02/01/2020 16:45:00,15812
164,02/01/2020 17:00:00,16077
165,02/01/2020 17:15:00,16142
166,02/01/2020 17:30:00,16209
167,02/01/2020 17:45:00,16289
168,02/01/2020 18:00:00,16303
169,02/01/2020 18:15:00,1628
170,02/01/2020 18:30:00,16216
171,02/01/2020 18:45:00,16176
172,02/01/2020 19:00:00,16077
173,02/01/2020 19:15:00,15963
174,02/01/2020 19:30:00,15856
175,02/01/2020 19:45:00,15706
