,Date,Renevables
0,01/01/2020 00:00:00,4293
1,01/01/2020 00:15:00,4299
2,01/01/2020 00:30:00,4449
3,01/01/2020 00:45:00,4768
4,01/01/2020 01:00:00,5329
5,01/01/2020 01:15:00,5904
6,01/01/2020 01:30:00,6153
7,01/01/2020 01:45:00,6480
8,01/01/2020 02:00:00,6881
9,01/01/2020 02:15:00,6084
10,01/01/2020 02:30:00,7246
11,01/01/2020 02:45:00,7464
12,01/01/2020 03:00:00,7735
13,01/01/2020 03:15:00,7024
14,01/01/2020 03:30:00,8236
15,01/01/2020 03:45:00,8340
16,01/01/2020 04:00:00,8574
17,01/01/2020 04:15:00,7560
18,01/01/2020 04:30:00,8742
19,01/01/2020 04:45:00,8648
20,01/01/2020 05:00:00,8596
21,01/01/2020 05:15:00,8477
22,01/01/2020 05:30:00,8324
23,01/01/2020 05:45:00,8125
24,01/01/2020 06:00:00,7850
25,01/01/2020 06:15:00,7676
26,01/01/2020 06:30:00,7812
27,01/01/2020 06:45:00,7939
28,01/01/2020 07:00:00,8138
29,01/01/2020 07:15:00,8248
30,01/01/2020 07:30:00,7199
31,01/01/2020 07:45:00,8417
32,01/01/2020 08:00:00,8453
33,01/01/2020 08:15:00,8758
34,01/01/2020 08:30:00,9658
35,01/01/2020 08:45:00,11054
36,01/01/2020 09:00:00,12968
37,01/01/2020 09:15:00,15189
38,01/01/2020 09:30:00,17495
39,01/01/2020 09:45:00,9986
40,01/01/2020 10:00:00,10445
41,01/01/2020 10:15:00,10696
42,01/01/2020 10:30:00,11002
43,01/01/2020 10:45:00,11203
44,01/01/2020 11:00:00,11455
45,01/01/2020 11:15:00,11726
46,01/01/2020 11:30:00,12165
47,01/01/2020 11:45:00,12671
48,01/01/2020 12:00:00,21633
49,01/01/2020 12:15:00,22499
50,01/01/2020 12:30:00,20244
51,01/01/2020 12:45:00,23048
52,01/01/2020 13:00:00,14457
53,01/01/2020 13:15:00,13268
54,01/01/2020 13:30:00,14327
55,01/01/2020 13:45:00,13826
56,01/01/2020 14:00:00,13335
57,01/01/2020 14:15:00,12832
58,01/01/2020 14:30:00,21400
59,01/01/2020 14:45:00,21028
60,01/01/2020 15:00:00,11667
61,01/01/2020 15:15:00,16731
62,01/01/2020 15:30:00,14644
63,01/01/2020 15:45:00,12256
64,01/01/2020 16:00:00,10750
65,01/01/2020 16:15:00,10333
66,01/01/2020 16:30:00,10676
67,01/01/2020 16:45:00,11063
68,01/01/2020 17:00:00,11565
69,01/01/2020 17:15:00,12237
70,01/01/2020 17:30:00,13153
71,01/01/2020 17:45:00,3483
72,01/01/2020 18:00:00,4496
73,01/01/2020 18:15:00,3545
74,01/01/2020 18:30:00,4760
75,01/01/2020 18:45:00,4858
76,01/01/2020 19:00:00,4946
77,01/01/2020 19:15:00,3844
78,01/01/2020 19:30:00,3908
79,01/01/2020 19:45:00,3998
80,01/01/2020 20:00:00,5066
81,01/01/2020 20:15:00,5060
82,01/01/2020 20:30:00,2941
83,01/01/2020 20:45:00,5095
84,01/01/2020 21:00:00,5127
85,01/01/2020 21:15:00,5126
86,01/01/2020 21:30:00,14068
87,01/01/2020 21:45:00,5096
88,01/01/2020 22:00:00,13674
89,01/01/2020 22:15:00,13153
90,01/01/2020 22:30:00,13150
91,01/01/2020 22:45:00,13121
92,01/01/2020 23:00:00,13098
93,01/01/2020 23:15:00,13232
94,01/01/2020 23:30:00,13230
95,01/01/2020 23:45:00,13486
96,02/01/2020 00:00:00,4676
97,02/01/2020 00:15:00,4692
98,02/01/2020 00:30:00,3571
99,02/01/2020 00:45:00,1908
100,02/01/2020 01:00:00,4559
101,02/01/2020 01:15:00,4541
102,02/01/2020 01:30:00,4568
103,02/01/2020 01:45:00,4569
104,02/01/2020 02:00:00,4553
105,02/01/2020 02:15:00,3476
106,02/01/2020 02:30:00,4585
107,02/01/2020 02:45:00,4493
108,02/01/2020 03:00:00,4456
109,02/01/2020 03:15:00,3047
110,02/01/2020 03:30:00,3046
111,02/01/2020 03:45:00,4458
112,02/01/2020 04:00:00,1877
113,02/01/2020 04:15:00,4449
114,02/01/2020 04:30:00,3303
115,02/01/2020 04:45:00,4524
116,02/01/2020 05:00:00,4541
117,02/01/2020 05:15:00,4580
118,02/01/2020 05:30:00,4596
119,02/01/2020 05:45:00,4671
120,02/01/2020 06:00:00,4765
121,02/01/2020 06:15:00,3772
122,02/01/2020 06:30:00,4935
123,02/01/2020 06:45:00,5052
124,02/01/2020 07:00:00,5074
125,02/01/2020 07:15:00,5140
126,02/01/2020 07:30:00,3972
127,02/01/2020 07:45:00,3987
128,02/01/2020 08:00:00,5174
129,02/01/2020 08:15:00,5450
130,02/01/2020 08:30:00,6336
131,02/01/2020 08:45:00,8074
132,02/01/2020 09:00:00,8158
133,02/01/2020 09:15:00,12120
134,02/01/2020 09:30:00,13253
135,02/01/2020 09:45:00,4365
136,02/01/2020 10:00:00,3301
137,02/01/2020 10:15:00,6753
138,02/01/2020 10:30:00,6923
139,02/01/2020 10:45:00,7097
140,02/01/2020 11:00:00,7136
141,02/01/2020 11:15:00,7204
142,02/01/2020 11:30:00,6104
143,02/01/2020 11:45:00,7218
144,02/01/2020 12:00:00,7220
145,02/01/2020 12:15:00,7156
