Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
01.01.2020;00:00;10.899;9.302;49
01.01.2020;00:15;10.837;9.241;66
01.01.2020;00:30;10.759;9.099;97
01.01.2020;00:45;10.719;8.999;129
01.01.2020;01:00;10.678;8.942;235
01.01.2020;01:15;10.633;8.915;271
01.01.2020;01:30;10.541;8.792;280
01.01.2020;01:45;10.470;8.683;366
01.01.2020;02:00;10.424;8.604;429
01.01.2020;02:15;10.344;8.506;502
01.01.2020;02:30;10.247;8.392;515
01.01.2020;02:45;10.187;8.328;514
01.01.2020;03:00;10.094;8.252;552
01.01.2020;03:15;10.023;8.172;575
01.01.2020;03:30;9.954;8.091;602
01.01.2020;03:45;9.902;8.010;621
01.01.2020;04:00;10.018;8.107;705
01.01.2020;04:15;9.980;8.067;726
01.01.2020;04:30;9.985;8.049;757
01.01.2020;04:45;9.962;8.022;811
01.01.2020;05:00;9.989;8.055;823
01.01.2020;05:15;9.928;8.006;752
01.01.2020;05:30;9.922;7.989;814
01.01.2020;05:45;9.854;7.940;887
01.01.2020;06:00;9.668;7.772;747
01.01.2020;06:15;9.639;7.794;751
01.01.2020;06:30;9.628;7.785;682
01.01.2020;06:45;9.674;7.838;548
01.01.2020;07:00;9.738;7.891;326
01.01.2020;07:15;9.792;7.943;384
01.01.2020;07:30;9.788;7.968;282
01.01.2020;07:45;9.803;7.993;221
01.01.2020;08:00;9.868;8.070;370
01.01.2020;08:15;9.922;8.078;488
01.01.2020;08:30;9.958;8.029;486
01.01.2020;08:45;10.110;8.048;469
01.01.2020;09:00;10.297;8.033;398
01.01.2020;09:15;10.459;7.984;406
01.01.2020;09:30;10.595;7.899;441
01.01.2020;09:45;10.817;7.839;584
01.01.2020;10:00;10.921;7.716;724
01.01.2020;10:15;11.003;7.579;822
01.01.2020;10:30;11.116;7.510;865
01.01.2020;10:45;11.232;7.433;935
01.01.2020;11:00;11.413;7.426;943
01.01.2020;11:15;11.549;7.412;960
01.01.2020;11:30;11.666;7.351;928
01.01.2020;11:45;11.714;7.274;972
01.01.2020;12:00;11.890;7.439;845
01.01.2020;12:15;11.959;7.384;808
01.01.2020;12:30;11.954;7.308;931
01.01.2020;12:45;11.911;7.271;889
01.01.2020;13:00;11.920;7.265;774
01.01.2020;13:15;11.883;7.318;705
01.01.2020;13:30;11.885;7.411;576
01.01.2020;13:45;11.836;7.583;455
01.01.2020;14:00;11.628;7.619;463
01.01.2020;14:15;11.542;7.796;377
01.01.2020;14:30;11.397;7.946;124
01.01.2020;14:45;11.389;8.238;96
01.01.2020;15:00;11.485;8.630;44
01.01.2020;15:15;11.451;8.920;43
01.01.2020;15:30;11.488;9.221;42
01.01.2020;15:45;11.569;9.513;43
01.01.2020;16:00;11.759;9.775;44
01.01.2020;16:15;11.973;9.926;43
01.01.2020;16:30;12.320;10.160;42
01.01.2020;16:45;12.681;10.410;42
01.01.2020;17:00;13.004;10.604;80
01.01.2020;17:15;13.114;10.594;113
01.01.2020;17:30;13.238;10.565;117
01.01.2020;17:45;13.312;10.532;109
01.01.2020;18:00;13.410;10.533;100
01.01.2020;18:15;13.365;10.339;121
01.01.2020;18:30;13.409;10.270;148
01.01.2020;18:45;13.289;10.052;192
01.01.2020;19:00;13.271;9.947;159
01.01.2020;19:15;13.107;9.777;210
01.01.2020;19:30;13.030;9.678;204
01.01.2020;19:45;12.888;9.460;205
01.01.2020;20:00;12.767;9.319;108
01.01.2020;20:15;12.639;9.193;101
01.01.2020;20:30;12.465;8.962;151
01.01.2020;20:45;12.329;8.845;163
01.01.2020;21:00;12.275;8.769;154
01.01.2020;21:15;12.204;8.695;99
01.01.2020;21:30;12.201;8.692;98
01.01.2020;21:45;12.117;8.635;97
01.01.2020;22:00;12.222;8.877;5
01.01.2020;22:15;12.090;8.897;3
01.01.2020;22:30;11.898;8.798;3
01.01.2020;22:45;11.691;8.633;6
01.01.2020;23:00;11.497;8.440;52
01.01.2020;23:15;11.360;8.265;52
01.01.2020;23:30;11.173;8.128;52
01.01.2020;23:45;11.013;7.967;146
02.01.2020;00:00;11.004;7.943;417
02.01.2020;00:15;10.956;7.872;509
02.01.2020;00:30;10.902;7.843;763
02.01.2020;00:45;10.789;7.788;841
02.01.2020;01:00;10.680;7.726;775
02.01.2020;01:15;10.597;7.662;794
02.01.2020;01:30;10.526;7.575;788
02.01.2020;01:45;10.511;7.548;796
02.01.2020;02:00;10.461;7.516;864
02.01.2020;02:15;10.404;7.447;910
02.01.2020;02:30;10.409;7.447;927
02.01.2020;02:45;10.394;7.501;953
02.01.2020;03:00;10.444;7.583;1.029
02.01.2020;03:15;10.367;7.519;1.113
02.01.2020;03:30;10.411;7.572;1.184
02.01.2020;03:45;10.468;7.599;1.135
02.01.2020;04:00;10.562;7.719;1.097
02.01.2020;04:15;10.615;7.754;1.029
02.01.2020;04:30;10.749;7.845;971
02.01.2020;04:45;10.855;7.919;916
02.01.2020;05:00;11.062;8.107;560
02.01.2020;05:15;11.150;8.151;520
02.01.2020;05:30;11.368;8.349;446
02.01.2020;05:45;11.505;8.414;231
02.01.2020;06:00;11.882;8.692;456
02.01.2020;06:15;12.220;8.948;505
02.01.2020;06:30;12.517;9.157;470
02.01.2020;06:45;12.839;9.386;300
02.01.2020;07:00;13.213;9.723;323
02.01.2020;07:15;13.475;9.938;212
02.01.2020;07:30;13.729;10.151;175
02.01.2020;07:45;13.951;10.379;153
02.01.2020;08:00;14.263;10.703;23
02.01.2020;08:15;14.353;10.768;2
02.01.2020;08:30;14.519;10.846;2
02.01.2020;08:45;14.678;10.752;2
02.01.2020;09:00;14.842;10.664;2
02.01.2020;09:15;14.947;10.564;2
02.01.2020;09:30;15.015;10.390;2
02.01.2020;09:45;15.046;10.279;2
02.01.2020;10:00;15.147;10.214;2
02.01.2020;10:15;15.133;9.993;1
02.01.2020;10:30;15.222;9.915;1
02.01.2020;10:45;15.297;9.815;19
02.01.2020;11:00;15.297;9.768;11
02.01.2020;11:15;15.356;9.752;2
02.01.2020;11:30;15.406;9.812;2
02.01.2020;11:45;15.464;9.851;2
02.01.2020;12:00;15.493;9.895;2
02.01.2020;12:15;15.444;9.895;2
