Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
01.01.2017;00:00;1.181;284;825;3.012;0;48;1.614;3.314;1.198;561;86;1.097
01.01.2017;00:15;1.178;285;826;3.029;0;48;1.616;3.332;1.189;561;89;1.093
01.01.2017;00:30;1.177;285;826;3.055;0;48;1.614;3.318;1.199;558;92;1.080
01.01.2017;00:45;1.176;285;827;3.023;0;48;1.614;3.320;1.190;557;81;1.027
01.01.2017;01:00;1.175;285;827;3.017;0;48;1.616;3.420;1.217;565;72;1.131
01.01.2017;01:15;1.178;285;826;3.014;0;48;1.613;3.417;1.215;563;66;1.091
01.01.2017;01:30;1.179;285;826;3.029;0;48;1.614;3.422;1.208;563;69;1.067
01.01.2017;01:45;1.179;285;825;2.999;0;48;1.614;3.431;1.212;557;64;1.090
01.01.2017;02:00;1.179;285;825;2.999;0;48;1.616;3.506;1.143;557;107;805
01.01.2017;02:15;1.178;285;825;2.972;0;47;1.613;3.537;1.143;554;52;889
01.01.2017;02:30;1.181;285;825;2.920;0;47;1.615;3.565;1.134;552;48;991
01.01.2017;02:45;1.180;283;824;2.890;0;47;1.614;3.563;1.144;547;70;1.000
01.01.2017;03:00;1.177;283;825;2.866;0;47;1.621;3.610;1.182;545;45;991
01.01.2017;03:15;1.177;282;825;2.854;0;47;1.624;3.602;1.162;543;44;988
01.01.2017;03:30;1.178;281;825;2.845;0;47;1.624;3.602;1.159;541;41;1.014
01.01.2017;03:45;1.178;280;826;2.867;0;47;1.625;3.592;1.168;540;50;1.054
01.01.2017;04:00;1.177;281;826;2.888;0;47;1.628;3.569;1.160;544;34;1.046
01.01.2017;04:15;1.179;280;825;2.892;0;47;1.628;3.489;1.158;547;33;984
01.01.2017;04:30;1.179;281;824;2.876;0;47;1.628;3.445;1.165;544;28;996
01.01.2017;04:45;1.180;281;824;2.910;0;47;1.629;3.442;1.162;545;29;1.026
01.01.2017;05:00;1.180;281;824;2.946;0;47;1.630;3.468;1.164;552;10;1.032
01.01.2017;05:15;1.179;280;825;2.982;0;47;1.629;3.471;1.152;551;13;1.055
01.01.2017;05:30;1.178;280;821;3.002;0;47;1.629;3.471;1.132;548;22;1.019
01.01.2017;05:45;1.178;279;819;3.035;0;47;1.629;3.466;1.118;550;18;1.063
01.01.2017;06:00;1.177;281;817;3.168;0;47;1.628;3.481;1.035;543;37;1.049
01.01.2017;06:15;1.177;282;803;3.143;0;47;1.629;3.485;1.016;544;45;1.040
01.01.2017;06:30;1.178;282;789;3.164;0;47;1.629;3.473;1.031;546;44;971
01.01.2017;06:45;1.177;281;779;3.242;0;47;1.629;3.478;1.042;541;34;955
01.01.2017;07:00;1.180;279;755;3.281;0;47;1.629;3.433;1.039;547;27;977
01.01.2017;07:15;1.180;278;724;3.216;0;47;1.628;3.422;1.044;551;26;956
01.01.2017;07:30;1.179;277;711;3.248;0;47;1.629;3.424;1.048;552;36;897
01.01.2017;07:45;1.179;277;693;3.275;0;47;1.629;3.414;1.052;554;25;962
01.01.2017;08:00;1.180;274;691;3.265;5;48;1.628;3.373;1.040;562;35;1.024
01.01.2017;08:15;1.181;274;668;3.283;22;48;1.628;3.367;1.030;562;57;1.009
01.01.2017;08:30;1.182;274;649;3.294;73;48;1.630;3.375;1.044;567;41;1.055
01.01.2017;08:45;1.183;273;654;3.313;174;48;1.630;3.375;1.045;563;52;1.085
01.01.2017;09:00;1.180;274;654;3.311;301;48;1.629;3.346;1.047;558;57;1.139
01.01.2017;09:15;1.180;275;654;3.296;441;48;1.628;3.344;1.056;560;36;1.197
01.01.2017;09:30;1.182;275;649;3.270;585;48;1.628;3.344;1.061;560;51;1.207
01.01.2017;09:45;1.183;275;649;3.239;757;48;1.628;3.337;1.068;561;49;1.224
01.01.2017;10:00;1.186;274;630;3.179;936;48;1.627;3.340;1.084;551;34;1.237
01.01.2017;10:15;1.187;275;597;3.101;1.100;48;1.628;3.342;1.107;555;38;1.251
01.01.2017;10:30;1.187;275;553;3.000;1.238;48;1.626;3.341;1.151;551;33;1.267
01.01.2017;10:45;1.185;274;528;2.917;1.405;48;1.625;3.334;1.190;554;15;1.285
01.01.2017;11:00;1.184;272;512;2.854;1.540;48;1.622;3.328;1.224;561;9;1.390
01.01.2017;11:15;1.184;274;536;2.802;1.653;48;1.625;3.343;1.220;563;23;1.450
01.01.2017;11:30;1.185;273;563;2.775;1.768;47;1.624;3.335;1.258;563;27;1.439
01.01.2017;11:45;1.186;272;560;2.700;1.870;47;1.622;3.339;1.291;562;10;1.450
01.01.2017;12:00;1.184;273;538;2.708;1.955;47;1.623;3.361;1.269;560;13;1.423
01.01.2017;12:15;1.184;272;528;2.671;1.982;47;1.626;3.361;1.242;565;15;1.357
01.01.2017;12:30;1.185;272;467;2.475;2.008;47;1.627;3.363;1.244;562;93;1.370
01.01.2017;12:45;1.185;271;420;2.429;1.981;47;1.627;3.389;1.273;564;41;1.255
01.01.2017;13:00;1.185;273;382;2.450;1.906;47;1.627;3.448;1.221;559;32;1.246
01.01.2017;13:15;1.185;272;366;2.416;1.847;47;1.627;3.444;1.234;556;67;1.192
01.01.2017;13:30;1.186;273;354;2.394;1.730;47;1.627;3.451;1.233;555;31;1.155
01.01.2017;13:45;1.186;272;326;2.335;1.602;47;1.626;3.432;1.247;553;130;1.126
01.01.2017;14:00;1.186;273;261;2.315;1.444;47;1.626;3.379;1.332;555;106;1.113
01.01.2017;14:15;1.186;273;215;2.296;1.259;47;1.628;3.383;1.341;553;281;1.117
01.01.2017;14:30;1.187;274;168;2.233;1.057;47;1.629;3.387;1.371;548;534;1.112
01.01.2017;14:45;1.187;276;142;2.199;876;47;1.628;3.360;1.464;557;537;1.158
01.01.2017;15:00;1.187;272;121;2.159;676;47;1.628;3.276;1.580;567;350;1.266
01.01.2017;15:15;1.187;274;101;2.122;486;47;1.629;3.248;1.654;567;487;1.253
01.01.2017;15:30;1.188;277;108;2.142;319;47;1.627;3.247;1.708;569;642;1.289
01.01.2017;15:45;1.188;278;119;2.122;180;47;1.626;3.236;1.759;574;696;1.304
01.01.2017;16:00;1.188;272;139;2.104;82;48;1.624;3.208;1.798;581;192;1.339
01.01.2017;16:15;1.188;273;130;2.132;26;48;1.627;3.224;1.816;587;277;1.320
01.01.2017;16:30;1.189;276;115;2.165;8;48;1.627;3.228;1.899;590;391;1.341
01.01.2017;16:45;1.189;277;142;2.221;2;48;1.626;3.207;1.988;593;675;1.361
01.01.2017;17:00;1.189;283;148;2.268;0;48;1.624;3.110;2.030;605;1.030;1.380
01.01.2017;17:15;1.189;284;145;2.306;0;48;1.625;3.102;2.019;606;1.339;1.393
01.01.2017;17:30;1.190;281;144;2.281;0;48;1.624;3.098;2.021;605;1.391;1.454
01.01.2017;17:45;1.190;285;159;2.287;0;48;1.625;3.103;2.057;605;1.350;1.489
01.01.2017;18:00;1.190;288;196;2.300;0;48;1.625;3.102;2.082;607;1.301;1.471
01.01.2017;18:15;1.190;288;193;2.267;0;48;1.625;3.105;2.095;608;1.368;1.360
01.01.2017;18:30;1.191;289;183;2.282;0;48;1.625;3.104;2.112;606;1.254;1.344
01.01.2017;18:45;1.191;288;184;2.272;0;48;1.624;3.111;2.122;607;1.141;1.425
01.01.2017;19:00;1.191;287;187;2.286;0;48;1.624;3.107;2.138;607;1.212;1.476
01.01.2017;19:15;1.191;291;212;2.316;0;48;1.624;3.103;2.145;610;1.033;1.499
01.01.2017;19:30;1.192;291;241;2.325;0;48;1.624;3.100;2.159;612;858;1.530
01.01.2017;19:45;1.192;289;291;2.370;0;48;1.625;3.105;2.183;611;604;1.556
01.01.2017;20:00;1.192;292;359;2.410;0;48;1.625;3.141;2.242;613;622;1.536
